sample,position,aragonite_thickness_um,calcite_thickness_um,date
12_8,2,63.53,749.304,13.07.1936
12_8,2,58.602,748.955,13.07.1936
12_8,2,72.962,744.132,13.07.1936
12_8,2,73.831,748.178,13.07.1936
12_8,2,69.411,853.011,13.07.1936
12_8,2,67.553,828.176,13.07.1936
12_8,2,63.154,840.48,13.07.1936
12_9,2,101.334,701.681,13.07.1936
12_9,2,105.496,567.405,13.07.1936
12_9,2,111.168,599.747,13.07.1936
12_9,2,114.738,600.888,13.07.1936
12_9,2,104.98,618.213,13.07.1936
12_9,2,93.982,603.012,13.07.1936
12_9,2,93.791,586.092,13.07.1936
12_9,2,83.819,645.714,13.07.1936
12_9,2,87.917,625.01,13.07.1936
12_9,2,96.226,595.23,13.07.1936
12_10,2,45.47,1067.541,13.07.1936
12_10,2,44.851,1120.058,13.07.1936
12_10,2,47.73,1069.484,13.07.1936
12_10,2,62.21,1082.846,13.07.1936
12_10,2,45.514,1153.249,13.07.1936
12_10,2,46.149,1164.779,13.07.1936
12_10,2,40.497,1071.193,13.07.1936
12_10,2,21.889,1261.427,13.07.1936
12_10,2,15.143,1350.993,13.07.1936
12_10,2,14.443,1305.158,13.07.1936
16_1,2,209.427,629.742,22.04.1938
16_1,2,218.33,528.744,22.04.1938
16_1,2,221.308,571.504,22.04.1938
16_1,2,212.712,597.729,22.04.1938
16_1,2,194.502,624.639,22.04.1938
16_1,2,209.959,589.053,22.04.1938
16_1,2,220.219,556.539,22.04.1938
16_1,2,211.592,550.384,22.04.1938
16_1,2,204.924,546.577,22.04.1938
16_1,2,178.348,529.933,22.04.1938
16_2,2,212.645,468.683,22.04.1938
16_2,2,213.074,499.951,22.04.1938
16_2,2,207.687,481.436,22.04.1938
16_2,2,196.486,393.484,22.04.1938
16_2,2,194.91,359.653,22.04.1938
16_2,2,188.095,393.643,22.04.1938
16_2,2,188.693,436.07,22.04.1938
16_2,2,191.573,451.704,22.04.1938
16_2,2,184.48,485.531,22.04.1938
16_2,2,181.612,459.733,22.04.1938
16_3,2,239.145,692.844,22.04.1938
16_3,2,231.676,699.758,22.04.1938
16_3,2,251.846,675.601,22.04.1938
16_3,2,268.619,620.839,22.04.1938
16_3,2,280.792,669.079,22.04.1938
16_3,2,269.301,661.896,22.04.1938
16_3,2,284.033,653.784,22.04.1938
16_3,2,276.23,644.744,22.04.1938
16_3,2,265.446,784.131,22.04.1938
16_3,2,264.893,766.749,22.04.1938
16_4,2,195.936,697.02,22.04.1938
16_4,2,197.787,762.375,22.04.1938
16_4,2,197.909,911.873,22.04.1938
16_4,2,207.889,943.997,22.04.1938
16_4,2,205.606,882.686,22.04.1938
16_4,2,218.708,799.498,22.04.1938
16_4,2,220.083,717.442,22.04.1938
16_4,2,230.262,667.984,22.04.1938
16_4,2,240.501,653.188,22.04.1938
16_4,2,252.487,676.707,22.04.1938
16_5,2,135.305,585.741,22.04.1938
16_5,2,159.222,762.394,22.04.1938
16_5,2,149.672,797.126,22.04.1938
16_5,2,136.046,720.658,22.04.1938
16_5,2,138.39,640.561,22.04.1938
16_5,2,143.283,594.727,22.04.1938
16_5,2,138.515,551.629,22.04.1938
16_5,2,141.496,575.083,22.04.1938
16_5,2,144.218,629.348,22.04.1938
16_5,2,151.966,608.61,22.04.1938
16_6,2,177.719,665.826,22.04.1938
16_6,2,160.807,554.834,22.04.1938
16_6,2,164.507,499.494,22.04.1938
16_6,2,167.824,514.157,22.04.1938
16_6,2,167.773,490.454,22.04.1938
16_6,2,168.731,598.173,22.04.1938
16_6,2,178.758,650.225,22.04.1938
16_6,2,171.787,685.947,22.04.1938
16_6,2,183.677,709.592,22.04.1938
16_6,2,169.742,699.597,22.04.1938
16_7,2,192.262,678.129,22.04.1938
16_7,2,192.55,701.398,22.04.1938
16_7,2,157.956,908.851,22.04.1938
16_7,2,116.644,1086.248,22.04.1938
16_7,2,88.427,1147.503,22.04.1938
16_7,2,76.738,1237.524,22.04.1938
16_7,2,81.516,1234.95,22.04.1938
16_7,2,65.265,1190.284,22.04.1938
16_7,2,77.96,1173.982,22.04.1938
16_7,2,99.166,1248.46,22.04.1938
16_8,2,176.798,431.149,22.04.1938
16_8,2,184.989,514.076,22.04.1938
16_8,2,210.158,455.966,22.04.1938
16_8,2,209.03,441.82,22.04.1938
16_8,2,211.594,495.439,22.04.1938
16_8,2,209.565,488.44,22.04.1938
16_8,2,190.519,571.556,22.04.1938
16_8,2,194.729,619.822,22.04.1938
16_8,2,183.083,679.74,22.04.1938
16_8,2,172.704,729.331,22.04.1938
16_9,2,217.616,581.676,22.04.1938
