"wind_speed","year","month"
8.28,1982,10
11.19,1982,11
10.52,1982,12
13.84,1983,1
9.12,1983,2
9.05,1983,3
7.5,1983,4
6.9,1983,5
6.29,1983,6
4.81,1983,7
5.76,1983,8
9.72,1983,9
9.96,1983,10
7.4,1983,11
10.19,1983,12
11.95,1984,1
8.51,1984,2
7.24,1984,3
6.29,1984,4
6.7,1984,5
5.81,1984,6
5.53,1984,7
4.49,1984,8
7.49,1984,9
9.53,1984,10
10.2,1984,11
8.57,1984,12
9.38,1985,1
7.37,1985,2
6.69,1985,3
8.21,1985,4
6.61,1985,5
6.54,1985,6
6.34,1985,7
7.51,1985,8
6.96,1985,9
6.99,1985,10
9.92,1985,11
10.05,1985,12
12.09,1986,1
9.96,1986,2
8.05,1986,3
7.17,1986,4
7.77,1986,5
7.21,1986,6
5.5,1986,7
7.73,1986,8
6.53,1986,9
8.67,1986,10
10.44,1986,11
11.58,1986,12
8.4,1987,1
7.27,1987,2
8.56,1987,3
6.59,1987,4
7.42,1987,5
5.59,1987,6
5.94,1987,7
6.51,1987,8
6.93,1987,9
8.79,1987,10
8.12,1987,11
8.37,1987,12
9.76,1988,1
11.93,1988,2
8.42,1988,3
6.71,1988,4
6.79,1988,5
6.23,1988,6
7.89,1988,7
6.95,1988,8
8.59,1988,9
8.21,1988,10
8.18,1988,11
9.72,1988,12
8.51,1989,1
10.18,1989,2
9.19,1989,3
8.05,1989,4
6.34,1989,5
5.81,1989,6
6.13,1989,7
6.62,1989,8
6.83,1989,9
9.59,1989,10
8.67,1989,11
7.82,1989,12
11.22,1990,1
12.94,1990,2
9.49,1990,3
7.64,1990,4
5.39,1990,5
6.46,1990,6
6.35,1990,7
6.27,1990,8
8.08,1990,9
9.9,1990,10
8.34,1990,11
10.71,1990,12
9.31,1991,1
7.97,1991,2
6.83,1991,3
8.86,1991,4
6.67,1991,5
7.11,1991,6
6.56,1991,7
5.63,1991,8
6.64,1991,9
8.49,1991,10
9.58,1991,11
7.75,1991,12
7.45,1992,1
7.86,1992,2
9.23,1992,3
7.25,1992,4
6.88,1992,5
5.8,1992,6
6.11,1992,7
8.47,1992,8
8.25,1992,9
9.07,1992,10
11.21,1992,11
8.3,1992,12
10.5,1993,1
7.51,1993,2
8.32,1993,3
6.83,1993,4
7.95,1993,5
5.47,1993,6
6.77,1993,7
6.91,1993,8
7.34,1993,9
8.92,1993,10
8.26,1993,11
12.32,1993,12
11.44,1994,1
9.3,1994,2
11.36,1994,3
9.26,1994,4
7.03,1994,5
6.98,1994,6
5.88,1994,7
6.85,1994,8
8.87,1994,9
8.47,1994,10
8.52,1994,11
10.66,1994,12
12.28,1995,1
10.7,1995,2
10.36,1995,3
8.2,1995,4
6.75,1995,5
7.73,1995,6
6.68,1995,7
6.88,1995,8
8.07,1995,9
8.76,1995,10
9.52,1995,11
8.39,1995,12
10.99,1996,1
10.09,1996,2
8.28,1996,3
7.03,1996,4
8.27,1996,5
6.64,1996,6
6.35,1996,7
7.35,1996,8
8.57,1996,9
9.36,1996,10
10.99,1996,11
9.74,1996,12
7.41,1997,1
12.08,1997,2
8.23,1997,3
7.45,1997,4
7.08,1997,5
7.77,1997,6
6.07,1997,7
5.63,1997,8
7.12,1997,9
8.32,1997,10
9.08,1997,11
10.5,1997,12
11.03,1998,1
9.79,1998,2
9.4,1998,3
7.57,1998,4
6.92,1998,5
7.88,1998,6
7.56,1998,7
7.25,1998,8
8.4,1998,9
12.26,1998,10
8.79,1998,11
10.3,1998,12
10.49,1999,1
9.99,1999,2
6.57,1999,3
6.76,1999,4
6.76,1999,5
5.51,1999,6
5.9,1999,7
5.56,1999,8
6.55,1999,9
8.85,1999,10
9.49,1999,11
11.27,1999,12
8.99,2000,1
9.7,2000,2
8.31,2000,3
6.61,2000,4
6.45,2000,5
6.26,2000,6
5.44,2000,7
5.01,2000,8
7.45,2000,9
10.19,2000,10
10.28,2000,11
10.13,2000,12
8.16,2001,1
7.79,2001,2
7.54,2001,3
7.95,2001,4
6.57,2001,5
6.51,2001,6
6.03,2001,7
5.61,2001,8
8.66,2001,9
9.32,2001,10
8.71,2001,11
7.82,2001,12
9.71,2002,1
11,2002,2
7.43,2002,3
7.45,2002,4
7.07,2002,5
6.27,2002,6
6.32,2002,7
5.03,2002,8
6.12,2002,9
9,2002,10
7.63,2002,11
8.04,2002,12
9.13,2003,1
7.17,2003,2
6.54,2003,3
7.12,2003,4
6.89,2003,5
5.83,2003,6
6.19,2003,7
5.47,2003,8
5.38,2003,9
8.65,2003,10
8.15,2003,11
8.39,2003,12
9.64,2004,1
9.41,2004,2
6.73,2004,3
6.26,2004,4
5.18,2004,5
6.32,2004,6
5.2,2004,7
6.44,2004,8
8.06,2004,9
8.44,2004,10
7.59,2004,11
7.34,2004,12
10.75,2005,1
8.51,2005,2
7.68,2005,3
6.54,2005,4
7.13,2005,5
5.84,2005,6
5.66,2005,7
6.24,2005,8
6.2,2005,9
7.72,2005,10
9.14,2005,11
8.53,2005,12
7.17,2006,1
7.81,2006,2
7.85,2006,3
6.9,2006,4
7.6,2006,5
5.39,2006,6
5.37,2006,7
6.5,2006,8
6.59,2006,9
8.35,2006,10
10.34,2006,11
9.4,2006,12
11.18,2007,1
7.67,2007,2
8.48,2007,3
6.12,2007,4
6.57,2007,5
5.86,2007,6
7.19,2007,7
6.5,2007,8
8.35,2007,9
5.84,2007,10
9.53,2007,11
9.22,2007,12
10.58,2008,1
8.49,2008,2
9.68,2008,3
6.5,2008,4
6.71,2008,5
5.63,2008,6
6.48,2008,7
7.08,2008,8
6.32,2008,9
8.64,2008,10
8.77,2008,11
7.44,2008,12
8.09,2009,1
7.27,2009,2
7.58,2009,3
5.24,2009,4
7,2009,5
4.91,2009,6
7.17,2009,7
6.18,2009,8
7.29,2009,9
7.32,2009,10
9.91,2009,11
8.45,2009,12
7.41,2010,1
7.12,2010,2
7.14,2010,3
6,2010,4
5.57,2010,5
5.1,2010,6
